,xmin,ymin,xmax,ymax
75,8100,900,17700,10500
76,0,8700,9600,18300
77,8400,8100,18000,17700
78,3300,6000,12900,15600
79,2700,5100,12300,14700
80,2100,5700,11700,15300
81,5400,900,15000,10500
82,300,4800,9900,14400
83,4500,900,14100,10500
84,8100,300,17700,9900
85,9600,9600,19200,19200
86,2700,7200,12300,16800
87,4200,8100,13800,17700
88,9000,4500,18600,14100
89,9300,1200,18900,10800
90,9600,8700,19200,18300
91,4800,6300,14400,15900
92,6300,600,15900,10200
93,6300,3900,15900,13500
94,5700,6600,15300,16200
95,8400,4800,18000,14400
96,2400,8400,12000,18000
97,6600,4200,16200,13800
98,7200,9300,16800,18900
99,3300,3600,12900,13200
100,300,9000,9900,18600
101,1500,6000,11100,15600
102,2100,4200,11700,13800
103,4800,6300,14400,15900
104,8400,2700,18000,12300
105,4500,8700,14100,18300
106,5100,900,14700,10500
107,9300,6600,18900,16200
108,4800,5700,14400,15300
109,6600,8400,16200,18000
110,5700,300,15300,9900
111,9300,2100,18900,11700
112,5100,3900,14700,13500
113,2400,8100,12000,17700
114,2700,7500,12300,17100
115,6300,7500,15900,17100
116,5700,4800,15300,14400
117,7800,5700,17400,15300
118,5700,9600,15300,19200
119,2400,8400,12000,18000
120,4200,900,13800,10500
121,8100,2700,17700,12300
122,900,900,10500,10500
123,4500,6000,14100,15600
124,600,7500,10200,17100
125,6600,7800,16200,17400
126,1500,6000,11100,15600
127,1500,3900,11100,13500
128,5400,8100,15000,17700
129,8700,1200,18300,10800
130,3600,7800,13200,17400
131,8400,7500,18000,17100
132,1800,5100,11400,14700
133,1500,300,11100,9900
134,4800,5700,14400,15300
135,1500,3600,11100,13200
136,7800,4800,17400,14400
137,5700,8400,15300,18000
138,7500,5100,17100,14700
139,4500,1200,14100,10800
140,6300,8400,15900,18000
141,5400,6600,15000,16200
142,6600,3300,16200,12900
143,8700,7500,18300,17100
144,4200,7800,13800,17400
145,0,1200,9600,10800
146,1500,1200,11100,10800
147,6900,4500,16500,14100
148,2100,7200,11700,16800
149,9600,2400,19200,12000
150,5400,4200,15000,13800
151,8700,900,18300,10500
152,4500,3900,14100,13500
153,8400,1800,18000,11400
154,6000,2100,15600,11700
155,7800,4800,17400,14400
156,4800,2100,14400,11700
157,1800,6000,11400,15600
158,7200,1200,16800,10800
159,1800,3300,11400,12900
160,6300,5400,15900,15000
161,6300,7500,15900,17100
162,5700,9600,15300,19200
163,1200,3000,10800,12600
164,3600,7800,13200,17400
165,4500,3600,14100,13200
166,6300,8400,15900,18000
167,300,9600,9900,19200
168,8400,3900,18000,13500
169,6900,6000,16500,15600
170,5100,7200,14700,16800
171,5400,4500,15000,14100
172,8400,8100,18000,17700
173,8100,4200,17700,13800
174,3000,7800,12600,17400
175,7800,6900,17400,16500
176,600,4500,10200,14100
177,9600,6900,19200,16500
178,6300,2100,15900,11700
179,3600,4200,13200,13800
180,5700,6000,15300,15600
181,5400,1800,15000,11400
182,2400,6000,12000,15600
183,3300,2100,12900,11700
184,6900,4800,16500,14400
185,8100,8700,17700,18300
186,4800,4800,14400,14400
187,1200,9000,10800,18600
188,3600,6300,13200,15900
189,6900,4800,16500,14400
190,5700,6600,15300,16200
191,9300,8100,18900,17700
192,5100,2100,14700,11700
193,7500,8100,17100,17700
194,2700,4800,12300,14400
195,0,2400,9600,12000
196,2400,6000,12000,15600
197,3000,8100,12600,17700
198,2400,2700,12000,12300
199,4200,9300,13800,18900
200,4500,5400,14100,15000
201,1800,2400,11400,12000
202,9300,2400,18900,12000
203,8700,5700,18300,15300
204,3900,4500,13500,14100
205,3600,4800,13200,14400
206,5700,7800,15300,17400
207,600,3600,10200,13200
208,9300,3600,18900,13200
209,7800,3900,17400,13500
210,3000,600,12600,10200
211,8100,6000,17700,15600
212,900,0,10500,9600
213,8700,6600,18300,16200
214,0,6000,9600,15600
215,1500,2400,11100,12000
216,3000,4200,12600,13800
217,3300,1500,12900,11100
218,9000,9000,18600,18600
219,5100,2100,14700,11700
220,5400,6600,15000,16200
221,300,8400,9900,18000
222,6600,7800,16200,17400
223,4200,5100,13800,14700
224,6600,6900,16200,16500
225,8700,6900,18300,16500
226,5700,6300,15300,15900
227,0,3000,9600,12600
228,9000,8700,18600,18300
229,3300,3600,12900,13200
230,6300,8100,15900,17700
231,6300,6900,15900,16500
232,8100,3300,17700,12900
233,5700,4500,15300,14100
234,2700,4800,12300,14400
235,5100,3300,14700,12900
236,4500,2400,14100,12000
237,3000,8700,12600,18300
238,1200,3900,10800,13500
239,3900,6300,13500,15900
240,9000,7800,18600,17400
241,5400,8400,15000,18000
242,1800,1800,11400,11400
243,6900,2400,16500,12000
244,6300,7200,15900,16800
245,7800,5700,17400,15300
246,4800,6900,14400,16500
247,5100,1500,14700,11100
248,1800,9600,11400,19200
249,8700,3900,18300,13500
250,6600,7500,16200,17100
251,0,9600,9600,19200
252,6600,6300,16200,15900
253,7800,3600,17400,13200
254,0,6300,9600,15900
255,1200,2700,10800,12300
256,6900,1500,16500,11100
257,8400,8700,18000,18300
258,4800,3900,14400,13500
259,2700,8400,12300,18000
260,4800,6600,14400,16200
261,2100,3600,11700,13200
262,0,7800,9600,17400
263,7200,7200,16800,16800
264,3300,3600,12900,13200
265,4800,4500,14400,14100
266,6900,2700,16500,12300
267,7200,900,16800,10500
268,7500,300,17100,9900
269,600,4200,10200,13800
270,2100,2100,11700,11700
271,2700,3600,12300,13200
272,3000,1200,12600,10800
273,5700,4500,15300,14100
274,3600,5700,13200,15300
275,9300,5400,18900,15000
276,1200,4500,10800,14100
277,0,9600,9600,19200
278,9300,6600,18900,16200
279,7800,5400,17400,15000
280,3000,1200,12600,10800
281,4200,300,13800,9900
282,4200,2100,13800,11700
283,1500,2700,11100,12300
284,4800,7800,14400,17400
285,8100,5100,17700,14700
286,1500,7800,11100,17400
287,9600,8100,19200,17700
288,2700,1800,12300,11400
289,2400,5400,12000,15000
290,4200,2400,13800,12000
291,3600,5100,13200,14700
292,8100,6300,17700,15900
293,8700,7200,18300,16800
294,2700,4800,12300,14400
295,3600,4500,13200,14100
296,5100,3300,14700,12900
297,600,7200,10200,16800
298,6600,6600,16200,16200
299,9000,9000,18600,18600
300,3300,9600,12900,19200
301,7200,8100,16800,17700
302,4500,6900,14100,16500
303,5700,3900,15300,13500
304,8100,7500,17700,17100
305,7500,2400,17100,12000
306,2400,9300,12000,18900
307,9600,3300,19200,12900
308,9600,5400,19200,15000
309,8100,5100,17700,14700
310,1200,6300,10800,15900
311,3600,5700,13200,15300
312,6900,3600,16500,13200
313,1500,9300,11100,18900
314,7500,5400,17100,15000
315,9000,6900,18600,16500
316,7800,4800,17400,14400
317,6600,3900,16200,13500
318,9600,6300,19200,15900
319,8100,1200,17700,10800
320,7200,2100,16800,11700
321,7800,8100,17400,17700
322,8400,300,18000,9900
323,9300,3300,18900,12900
324,9600,7500,19200,17100
325,1500,2100,11100,11700
326,2100,5400,11700,15000
327,9300,5100,18900,14700
328,1800,6900,11400,16500
329,2700,4200,12300,13800
330,5700,6600,15300,16200
331,4800,3300,14400,12900
332,6000,2700,15600,12300
333,2700,3000,12300,12600
334,8100,2400,17700,12000
335,4800,300,14400,9900
336,3000,7500,12600,17100
337,9300,7200,18900,16800
338,3600,9000,13200,18600
339,2700,2100,12300,11700
340,6000,3000,15600,12600
341,6600,4800,16200,14400
342,1500,5100,11100,14700
343,2700,6000,12300,15600
344,6300,9300,15900,18900
345,8400,6000,18000,15600
346,5400,6000,15000,15600
347,9600,8100,19200,17700
348,2700,3900,12300,13500
349,600,600,10200,10200
350,300,1200,9900,10800
351,5100,300,14700,9900
352,7500,3300,17100,12900
353,7500,9300,17100,18900
354,600,2700,10200,12300
355,2400,4200,12000,13800
356,600,8700,10200,18300
357,5400,6300,15000,15900
358,6600,1500,16200,11100
359,1500,300,11100,9900
360,9600,7500,19200,17100
361,6300,3900,15900,13500
362,4500,9600,14100,19200
363,3000,2100,12600,11700
364,900,600,10500,10200
365,3000,1800,12600,11400
366,6900,900,16500,10500
367,6600,5100,16200,14700
368,9300,6000,18900,15600
369,2100,1200,11700,10800
370,9600,3300,19200,12900
371,4500,3600,14100,13200
372,5100,8400,14700,18000
373,3300,9600,12900,19200
374,8100,3900,17700,13500
375,1800,6900,11400,16500
376,5100,3300,14700,12900
377,9300,6300,18900,15900
378,1800,9600,11400,19200
379,1500,5700,11100,15300
380,3600,3000,13200,12600
381,1500,9000,11100,18600
382,9000,3000,18600,12600
383,7200,4200,16800,13800
384,2700,5100,12300,14700
385,7500,2400,17100,12000
386,1500,7500,11100,17100
387,3600,3900,13200,13500
388,8700,4500,18300,14100
389,0,900,9600,10500
390,900,7800,10500,17400
391,1500,4200,11100,13800
392,2100,5700,11700,15300
393,600,3000,10200,12600
394,0,2700,9600,12300
395,8700,2400,18300,12000
396,3900,8400,13500,18000
397,4200,7800,13800,17400
398,3600,6600,13200,16200
399,2400,8100,12000,17700
400,9000,9000,18600,18600
401,300,2400,9900,12000
402,6600,4200,16200,13800
403,1800,9300,11400,18900
404,3900,7200,13500,16800
405,600,6900,10200,16500
406,600,900,10200,10500
407,900,5700,10500,15300
408,9000,1500,18600,11100
409,3000,1800,12600,11400
410,6900,7800,16500,17400
411,5700,4500,15300,14100
412,4800,3900,14400,13500
413,4200,600,13800,10200
414,8400,8400,18000,18000
415,5100,3300,14700,12900
416,1500,6900,11100,16500
417,5400,4500,15000,14100
418,600,3300,10200,12900
419,9600,5100,19200,14700
420,3300,4200,12900,13800
421,1500,3300,11100,12900
422,2400,3000,12000,12600
423,2400,5100,12000,14700
424,4800,3000,14400,12600
425,8700,8100,18300,17700
426,8400,2400,18000,12000
427,6600,4800,16200,14400
428,6300,2700,15900,12300
429,1800,8400,11400,18000
430,4200,0,13800,9600
431,3300,1200,12900,10800
432,4800,3600,14400,13200
433,3600,5100,13200,14700
434,7200,1200,16800,10800
435,8400,300,18000,9900
436,7800,5400,17400,15000
437,3600,7200,13200,16800
438,9300,2100,18900,11700
439,7200,9000,16800,18600
440,7200,5700,16800,15300
441,1800,8700,11400,18300
442,6300,1200,15900,10800
443,4500,4800,14100,14400
444,6000,5700,15600,15300
445,3600,600,13200,10200
446,5400,900,15000,10500
447,2100,6900,11700,16500
448,6600,9000,16200,18600
449,7800,5400,17400,15000
450,2700,5100,12300,14700
451,900,1800,10500,11400
452,3300,5100,12900,14700
453,8700,300,18300,9900
454,8700,9000,18300,18600
455,8100,2100,17700,11700
456,3000,1800,12600,11400
457,7200,5400,16800,15000
458,7500,1200,17100,10800
459,7800,1800,17400,11400
460,6000,9300,15600,18900
461,9600,0,19200,9600
462,1200,1200,10800,10800
463,5400,6600,15000,16200
464,7800,1200,17400,10800
465,0,8400,9600,18000
466,4800,5100,14400,14700
467,3600,5100,13200,14700
468,900,300,10500,9900
469,4800,7500,14400,17100
470,600,8400,10200,18000
471,2400,8700,12000,18300
472,7500,3000,17100,12600
473,9600,8700,19200,18300
474,5400,3300,15000,12900
475,600,900,10200,10500
476,8400,3600,18000,13200
477,7200,4200,16800,13800
478,0,3600,9600,13200
479,7800,3600,17400,13200
480,300,8400,9900,18000
481,2100,5400,11700,15000
482,7200,0,16800,9600
483,4800,2100,14400,11700
484,7800,8400,17400,18000
485,8100,600,17700,10200
486,3300,2100,12900,11700
487,3900,3600,13500,13200
488,8400,5400,18000,15000
489,5400,3600,15000,13200
490,5700,6300,15300,15900
491,5700,9300,15300,18900
492,3000,7500,12600,17100
493,6300,9300,15900,18900
494,2100,3000,11700,12600
495,3600,4200,13200,13800
496,7800,6300,17400,15900
497,3600,300,13200,9900
498,6900,7500,16500,17100
499,7500,1200,17100,10800
500,1800,1200,11400,10800
501,1200,2100,10800,11700
502,8100,900,17700,10500
503,2400,3600,12000,13200
504,900,2100,10500,11700
505,1800,5700,11400,15300
506,6300,9000,15900,18600
507,300,5700,9900,15300
508,3900,4800,13500,14400
509,8700,5100,18300,14700
510,3000,3600,12600,13200
511,8400,6600,18000,16200
512,1800,8100,11400,17700
513,3300,4800,12900,14400
514,6600,4200,16200,13800
515,8400,8100,18000,17700
516,3000,5100,12600,14700
517,9000,5700,18600,15300
518,3600,4500,13200,14100
519,4800,1800,14400,11400
520,7500,6600,17100,16200
521,4800,6900,14400,16500
522,6300,3300,15900,12900
523,4500,2700,14100,12300
524,600,1500,10200,11100
525,6300,2400,15900,12000
526,6600,7800,16200,17400
527,4500,8400,14100,18000
528,5400,6000,15000,15600
529,9600,8700,19200,18300
530,3000,4800,12600,14400
531,7800,3900,17400,13500
532,6600,6300,16200,15900
533,7800,6600,17400,16200
534,6600,3000,16200,12600
535,6900,3600,16500,13200
536,2400,2400,12000,12000
537,5400,4500,15000,14100
538,2400,3900,12000,13500
539,8400,8700,18000,18300
540,8400,5400,18000,15000
541,8100,4500,17700,14100
542,4200,7500,13800,17100
543,5700,5100,15300,14700
544,2400,8100,12000,17700
545,7200,600,16800,10200
546,600,3600,10200,13200
547,9300,8700,18900,18300
548,8700,9600,18300,19200
549,8400,9300,18000,18900
550,7800,3000,17400,12600
551,3600,2400,13200,12000
552,2400,1200,12000,10800
553,3000,6600,12600,16200
554,2700,8400,12300,18000
555,8700,6600,18300,16200
556,1500,4500,11100,14100
557,6300,9000,15900,18600
558,3600,0,13200,9600
559,3900,2400,13500,12000
560,5700,3600,15300,13200
561,3000,900,12600,10500
562,3000,600,12600,10200
563,5700,2100,15300,11700
564,3900,6900,13500,16500
565,2100,8100,11700,17700
566,0,4500,9600,14100
567,9600,8100,19200,17700
568,3900,4500,13500,14100
569,7200,5100,16800,14700
570,4800,6900,14400,16500
571,6900,2100,16500,11700
572,9600,8100,19200,17700
573,300,7200,9900,16800
574,1800,9600,11400,19200
575,1500,5100,11100,14700
576,1500,7200,11100,16800
577,600,6300,10200,15900
578,2700,4800,12300,14400
579,5100,0,14700,9600
580,8400,3600,18000,13200
581,5700,9600,15300,19200
582,9000,3000,18600,12600
583,4200,9300,13800,18900
584,900,0,10500,9600
585,5700,3900,15300,13500
586,3300,300,12900,9900
587,3900,2100,13500,11700
588,1500,3900,11100,13500
589,6000,5100,15600,14700
590,3300,0,12900,9600
591,600,3600,10200,13200
592,3000,1500,12600,11100
593,3600,7800,13200,17400
594,1500,6900,11100,16500
595,9000,8100,18600,17700
596,3000,3300,12600,12900
597,1500,6000,11100,15600
598,7200,6300,16800,15900
599,3300,9300,12900,18900
600,0,3000,9600,12600
601,3300,6900,12900,16500
602,8100,6300,17700,15900
603,5100,4500,14700,14100
604,3000,8400,12600,18000
605,8100,600,17700,10200
606,1800,8400,11400,18000
607,2400,4800,12000,14400
608,1800,1200,11400,10800
609,5700,0,15300,9600
610,5700,9300,15300,18900
611,7500,2400,17100,12000
612,4800,7800,14400,17400
613,9300,5100,18900,14700
614,0,9300,9600,18900
615,5100,3300,14700,12900
616,300,2400,9900,12000
617,6600,5400,16200,15000
618,6300,2100,15900,11700
619,7500,4800,17100,14400
620,8100,9300,17700,18900
621,600,6000,10200,15600
622,3900,9600,13500,19200
623,2700,3600,12300,13200
624,600,9000,10200,18600
625,2100,6000,11700,15600
626,300,7500,9900,17100
627,8100,3600,17700,13200
628,9000,3300,18600,12900
629,5400,4500,15000,14100
630,8400,600,18000,10200
631,5400,8400,15000,18000
632,7500,0,17100,9600
633,4200,8400,13800,18000
634,6600,600,16200,10200
635,6600,2700,16200,12300
636,4800,1200,14400,10800
637,300,7200,9900,16800
638,1800,2100,11400,11700
639,7500,300,17100,9900
640,4200,0,13800,9600
641,300,7800,9900,17400
642,1800,5700,11400,15300
643,3300,5400,12900,15000
644,7800,1500,17400,11100
645,4800,3900,14400,13500
646,6900,9300,16500,18900
647,5100,600,14700,10200
648,4800,2400,14400,12000
649,8400,8100,18000,17700
650,9000,2700,18600,12300
651,6000,1500,15600,11100
652,7800,600,17400,10200
653,9600,9000,19200,18600
654,8700,9300,18300,18900
655,0,1200,9600,10800
656,8100,6000,17700,15600
657,5400,5700,15000,15300
658,8100,9000,17700,18600
659,6900,4800,16500,14400
660,1800,1500,11400,11100
661,8100,8100,17700,17700
662,8700,7800,18300,17400
663,300,6600,9900,16200
664,9600,7500,19200,17100
665,2100,4200,11700,13800
666,6600,1800,16200,11400
667,8400,6600,18000,16200
668,4500,4200,14100,13800
669,4500,9600,14100,19200
670,8400,600,18000,10200
671,3000,600,12600,10200
672,4800,5100,14400,14700
673,300,5100,9900,14700
674,4500,4500,14100,14100
675,2100,6300,11700,15900
676,6600,300,16200,9900
677,9000,6600,18600,16200
678,6900,8400,16500,18000
679,3900,5400,13500,15000
680,6000,300,15600,9900
681,7800,4800,17400,14400
682,2700,8400,12300,18000
683,1200,8100,10800,17700
684,3600,3300,13200,12900
685,2400,2700,12000,12300
686,7500,8100,17100,17700
687,3300,5100,12900,14700
688,1800,8100,11400,17700
689,0,7500,9600,17100
690,3300,5100,12900,14700
691,5400,3300,15000,12900
692,1500,6300,11100,15900
693,5700,6900,15300,16500
694,1800,6600,11400,16200
695,8700,7800,18300,17400
696,7200,7200,16800,16800
697,8700,2100,18300,11700
698,5400,9000,15000,18600
699,300,3000,9900,12600
700,6900,6900,16500,16500
701,6000,5400,15600,15000
702,3900,9600,13500,19200
703,0,1800,9600,11400
704,3000,4500,12600,14100
705,0,7200,9600,16800
706,9600,3600,19200,13200
707,9000,5700,18600,15300
708,3600,9600,13200,19200
709,600,6300,10200,15900
710,5400,3000,15000,12600
711,600,6900,10200,16500
712,9600,1200,19200,10800
713,6300,6600,15900,16200
714,9300,8400,18900,18000
715,7800,8700,17400,18300
716,2400,6300,12000,15900
717,6600,4500,16200,14100
718,7500,8700,17100,18300
719,1200,8700,10800,18300
720,0,9000,9600,18600
721,5400,3000,15000,12600
722,3900,0,13500,9600
723,3000,1200,12600,10800
724,2400,6600,12000,16200
725,6600,3300,16200,12900
726,3000,1800,12600,11400
727,6300,4200,15900,13800
728,1500,1500,11100,11100
729,9300,4500,18900,14100
730,3900,5400,13500,15000
731,6300,6300,15900,15900
732,4800,3900,14400,13500
733,8400,7500,18000,17100
734,0,5400,9600,15000
735,5700,0,15300,9600
736,2700,3300,12300,12900
737,8400,0,18000,9600
738,5700,6300,15300,15900
739,9300,3300,18900,12900
740,6900,300,16500,9900
741,8400,7500,18000,17100
742,0,3300,9600,12900
743,3300,1200,12900,10800
744,1800,5100,11400,14700
745,7800,9000,17400,18600
746,3300,9600,12900,19200
747,4200,9600,13800,19200
748,6900,6300,16500,15900
749,4800,2100,14400,11700
750,9300,3900,18900,13500
751,3300,4200,12900,13800
752,8100,300,17700,9900
753,4800,5700,14400,15300
754,2400,3000,12000,12600
755,7500,8400,17100,18000
756,9300,3000,18900,12600
757,6900,5100,16500,14700
758,300,1800,9900,11400
759,8700,5100,18300,14700
760,4500,3600,14100,13200
761,2100,7200,11700,16800
762,300,4500,9900,14100
763,6900,1500,16500,11100
764,9600,4200,19200,13800
765,3300,900,12900,10500
766,8100,600,17700,10200
767,3000,5100,12600,14700
768,900,2400,10500,12000
769,4800,6300,14400,15900
770,2400,7800,12000,17400
771,2400,6900,12000,16500
772,9000,6900,18600,16500
773,8700,3000,18300,12600
774,300,3600,9900,13200
775,8400,3300,18000,12900
776,6900,3300,16500,12900
777,4500,5400,14100,15000
778,3300,3600,12900,13200
779,2700,4800,12300,14400
780,2700,7800,12300,17400
781,9300,8700,18900,18300
782,6300,3600,15900,13200
783,3600,3600,13200,13200
784,4200,9000,13800,18600
785,7800,3300,17400,12900
786,3300,7200,12900,16800
787,3600,8100,13200,17700
788,8100,4500,17700,14100
789,8400,5400,18000,15000
790,3600,1200,13200,10800
791,300,0,9900,9600
792,6600,300,16200,9900
793,6900,3900,16500,13500
794,6300,7800,15900,17400
795,6300,3300,15900,12900
796,5100,9300,14700,18900
797,8700,3900,18300,13500
798,1200,2400,10800,12000
799,7500,3000,17100,12600
800,8400,3900,18000,13500
801,3000,3900,12600,13500
802,6300,3900,15900,13500
803,6900,3000,16500,12600
804,8100,1800,17700,11400
805,3000,1500,12600,11100
806,600,2100,10200,11700
807,6900,3300,16500,12900
808,2100,9300,11700,18900
809,1800,3000,11400,12600
810,8400,9000,18000,18600
811,4800,0,14400,9600
812,8100,6000,17700,15600
813,1200,6600,10800,16200
814,6900,6000,16500,15600
815,3300,8100,12900,17700
816,2700,6600,12300,16200
817,4200,6000,13800,15600
818,600,6900,10200,16500
819,5700,6600,15300,16200
820,7500,8700,17100,18300
821,2400,3000,12000,12600
822,7500,1500,17100,11100
823,2100,2400,11700,12000
824,900,8700,10500,18300
825,2100,9600,11700,19200
826,7500,6000,17100,15600
827,300,6000,9900,15600
828,9600,2700,19200,12300
829,9000,900,18600,10500
830,4500,2100,14100,11700
831,6000,9000,15600,18600
832,1500,6300,11100,15900
833,5400,300,15000,9900
834,3000,600,12600,10200
835,1200,6300,10800,15900
836,7200,2400,16800,12000
837,900,2400,10500,12000
838,9000,3000,18600,12600
839,4500,6300,14100,15900
840,8400,7800,18000,17400
841,4800,9600,14400,19200
842,3900,6900,13500,16500
843,1200,4200,10800,13800
844,7500,900,17100,10500
845,8100,0,17700,9600
846,5400,5400,15000,15000
847,8700,9300,18300,18900
848,9600,9000,19200,18600
849,2400,9600,12000,19200
850,300,3900,9900,13500
851,5100,2100,14700,11700
852,1800,6900,11400,16500
853,9600,6000,19200,15600
854,3900,9600,13500,19200
855,300,3300,9900,12900
856,1200,7800,10800,17400
857,2700,8400,12300,18000
858,7500,5100,17100,14700
859,8100,5400,17700,15000
860,8400,600,18000,10200
861,1200,2100,10800,11700
862,2100,2400,11700,12000
863,2700,8400,12300,18000
864,6900,2700,16500,12300
865,7800,5700,17400,15300
866,3300,2100,12900,11700
867,300,3000,9900,12600
868,8400,9300,18000,18900
869,9300,6300,18900,15900
870,4500,7200,14100,16800
871,9600,2700,19200,12300
872,9000,8400,18600,18000
873,600,900,10200,10500
874,8700,0,18300,9600
875,6900,8100,16500,17700
876,6300,8400,15900,18000
877,8400,7500,18000,17100
878,9600,7200,19200,16800
879,1800,1500,11400,11100
880,6300,8100,15900,17700
881,3900,2100,13500,11700
882,300,1500,9900,11100
883,900,0,10500,9600
884,900,8400,10500,18000
885,3000,5400,12600,15000
886,9300,7500,18900,17100
887,1500,8700,11100,18300
888,6300,3600,15900,13200
889,3300,5100,12900,14700
890,2100,7500,11700,17100
891,9000,2100,18600,11700
892,1500,9300,11100,18900
893,7200,7500,16800,17100
894,2400,8100,12000,17700
895,4200,300,13800,9900
896,900,6300,10500,15900
897,3000,6000,12600,15600
898,9600,6900,19200,16500
899,6000,3600,15600,13200
900,5400,1200,15000,10800
901,7500,8700,17100,18300
902,0,8700,9600,18300
903,3300,6000,12900,15600
904,3300,4800,12900,14400
905,8700,7500,18300,17100
906,3900,9300,13500,18900
907,8400,8400,18000,18000
908,6000,300,15600,9900
909,6000,300,15600,9900
910,1800,3600,11400,13200
911,4500,300,14100,9900
912,1800,6600,11400,16200
913,5700,5700,15300,15300
914,5100,7500,14700,17100
915,6300,3300,15900,12900
916,6300,6000,15900,15600
917,6000,8100,15600,17700
918,5700,7200,15300,16800
919,8100,600,17700,10200
920,3900,6900,13500,16500
921,3900,0,13500,9600
922,2400,900,12000,10500
923,5400,6000,15000,15600
924,300,3900,9900,13500
925,600,3600,10200,13200
926,900,1800,10500,11400
927,6000,6000,15600,15600
928,0,3900,9600,13500
929,7200,4200,16800,13800
930,6000,8400,15600,18000
931,6300,7800,15900,17400
932,3000,8100,12600,17700
933,0,8100,9600,17700
934,1500,1800,11100,11400
935,2700,8400,12300,18000
936,3000,5100,12600,14700
937,9000,3900,18600,13500
938,8400,7200,18000,16800
939,5400,7500,15000,17100
940,9600,0,19200,9600
941,6300,2700,15900,12300
942,8100,1200,17700,10800
943,9300,4200,18900,13800
944,3900,8100,13500,17700
945,6300,9300,15900,18900
946,3900,4800,13500,14400
947,0,9300,9600,18900
948,0,600,9600,10200
949,0,1200,9600,10800
950,300,9300,9900,18900
951,6900,6600,16500,16200
952,7800,600,17400,10200
953,6900,4800,16500,14400
954,6000,4500,15600,14100
955,3300,3600,12900,13200
956,7200,9600,16800,19200
957,3600,900,13200,10500
958,8700,6900,18300,16500
959,8100,1200,17700,10800
960,5700,5700,15300,15300
961,5700,3600,15300,13200
962,7200,3000,16800,12600
963,7500,3300,17100,12900
964,900,5700,10500,15300
965,8400,2100,18000,11700
966,9000,6600,18600,16200
967,6300,600,15900,10200
968,6900,4200,16500,13800
969,1200,6600,10800,16200
970,3900,9000,13500,18600
971,3600,7500,13200,17100
972,8100,1500,17700,11100
973,1800,1800,11400,11400
974,1800,7200,11400,16800
975,1800,4200,11400,13800
976,3300,2400,12900,12000
977,4800,600,14400,10200
978,9000,0,18600,9600
979,300,3600,9900,13200
980,5100,7800,14700,17400
981,0,5400,9600,15000
982,900,9600,10500,19200
983,0,3300,9600,12900
984,9600,2100,19200,11700
985,4800,6600,14400,16200
986,5400,6000,15000,15600
987,6000,4500,15600,14100
988,6300,5400,15900,15000
989,3000,900,12600,10500
990,0,6300,9600,15900
991,2400,7500,12000,17100
992,9300,9600,18900,19200
993,3900,8100,13500,17700
994,6600,7800,16200,17400
995,5700,4200,15300,13800
996,6900,3600,16500,13200
997,6300,9600,15900,19200
998,1800,2700,11400,12300
999,8700,1200,18300,10800
1000,600,5400,10200,15000
1001,4800,6300,14400,15900
1002,6900,6300,16500,15900
1003,6600,3000,16200,12600
1004,5100,6600,14700,16200
1005,3000,3900,12600,13500
1006,4500,300,14100,9900
1007,6000,300,15600,9900
1008,2700,4800,12300,14400
1009,600,3900,10200,13500
1010,2700,5100,12300,14700
1011,9000,600,18600,10200
